,Product_name,Flipkart_price,Flipkart_rating,Flipkart_discount,Amazon_price,Amazon_rating,Amazon_discount
0,"APPLE iPhone 12 (Blue, 256 GB)","₹66,999",4.7,17%,"1,23,405",4.6,12%
1,"APPLE iPhone 12 (Blue, 256 GB)","₹66,999",4.7,17%,"1,41,395",4.6,14%
2,"APPLE iPhone 12 (Blue, 256 GB)","₹66,999",4.7,17%,"1,23,405",4.6,12%
3,"APPLE iPhone 12 (Blue, 256 GB)","₹66,999",4.7,17%,"1,41,395",4.6,14%
4,"APPLE iPhone 11 (Yellow, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,29%
5,"APPLE iPhone XR (White, 128 GB)","₹49,999",4.6,5% ,"37,999",4.6,28%
6,"APPLE iPhone XR (White, 128 GB)","₹49,999",4.6,5% ,"37,999",4.6,28%
7,"APPLE iPhone 12 Pro Max (Gold, 512 GB)","₹1,49,900",4.6,N/A,N/A,4.6,N/A
8,"APPLE iPhone 12 Pro Max (Gold, 512 GB)","₹1,49,900",4.6,N/A,"1,67,890",4.6,9%
9,"APPLE iPhone 13 Mini (Pink, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
10,"APPLE iPhone 13 Mini (Starlight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
11,"APPLE iPhone 13 Mini (Starlight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
12,"APPLE iPhone 13 Mini (Starlight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
13,"APPLE iPhone XR (White, 64 GB)","₹44,999",4.6,6% ,"32,999",4.6,31%
14,"APPLE iPhone XR (White, 64 GB)","₹44,999",4.6,6% ,"47,900",4.6,38%
15,"APPLE iPhone 11 (Purple, 64 GB)","₹49,900",4.6,N/A,N/A,4.6,N/A
16,"APPLE iPhone 11 (Green, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,22%
17,"APPLE iPhone 11 (Red, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,20%
18,"APPLE iPhone 11 (Red, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,20%
19,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,22%
20,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"49,900",4.6,22%
21,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,22%
22,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,22%
23,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"49,900",4.6,22%
24,"APPLE iPhone 11 (White, 64 GB)","₹49,900",4.6,N/A,"38,999",4.6,22%
25,"APPLE iPhone 12 Pro Max (Silver, 512 GB)","₹1,49,900",4.6,N/A,"1,49,900",4.6,6%
26,"APPLE iPhone 12 Pro Max (Silver, 512 GB)","₹1,49,900",4.6,N/A,"1,49,900",4.6,6%
27,"APPLE iPhone 12 Pro (Graphite, 128 GB)","₹1,09,900",4.6,N/A,"99,900",4.6,17%
28,"APPLE iPhone 12 Pro (Graphite, 128 GB)","₹1,09,900",4.6,N/A,"1,01,699",4.6,16%
29,"APPLE iPhone 12 Pro (Graphite, 128 GB)","₹1,09,900",4.6,N/A,"1,04,399",4.6,16%
30,"APPLE iPhone 12 Pro (Graphite, 128 GB)","₹1,09,900",4.6,N/A,"1,06,198",4.6,16%
31,"APPLE iPhone 11 (Yellow, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,20%
32,"APPLE iPhone 11 (Yellow, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,20%
33,"APPLE iPhone 11 (White, 128 GB)","₹54,900",4.6,N/A,N/A,4.6,N/A
34,"APPLE iPhone XR (Black, 128 GB)","₹49,999",4.6,5% ,"37,999",4.6,28%
35,"APPLE iPhone 12 Pro (Gold, 128 GB)","₹1,09,900",4.6,N/A,"1,19,900",4.6,8%
36,"APPLE iPhone XR (Black, 64 GB)","₹44,999",4.6,6% ,"32,999",4.6,31%
37,"APPLE iPhone 11 (White, 256 GB)","₹64,900",4.6,N/A,"59,999",4.6,14%
38,"APPLE iPhone 12 Pro (Gold, 256 GB)","₹1,19,900",4.6,N/A,"1,31,699",4.6,7%
39,"APPLE iPhone 12 Pro (Gold, 256 GB)","₹1,19,900",4.6,N/A,"1,29,900",4.6,7%
40,"APPLE iPhone 12 Pro (Gold, 256 GB)","₹1,19,900",4.6,N/A,"1,29,900",4.6,7%
41,"APPLE iPhone 12 Pro (Silver, 512 GB)","₹1,39,900",4.6,N/A,"1,29,900",4.6,13%
42,"APPLE iPhone 13 Mini (Midnight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
43,"APPLE iPhone 13 Mini (Midnight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
44,"APPLE iPhone 13 Mini (Midnight, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
45,"APPLE iPhone 13 Mini (Pink, 128 GB)","₹69,900",4.8,N/A,"69,900",3.1,00 
46,"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)","₹1,49,900",4.6,N/A,"1,51,699",4.6,6%
47,"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)","₹1,49,900",4.6,N/A,"1,67,890",4.6,9%
48,"APPLE iPhone 13 Mini (Blue, 128 GB)","₹69,900",4.8,N/A,N/A,3.1,N/A
49,"APPLE iPhone 13 Mini (Blue, 256 GB)","₹79,900",4.8,N/A,"79,900",3.1,00 
50,"APPLE iPhone 12 Pro (Graphite, 256 GB)","₹1,19,900",4.6,N/A,"1,31,699",4.6,7%
51,"APPLE iPhone 12 Pro (Graphite, 256 GB)","₹1,19,900",4.6,N/A,"1,31,699",4.6,7%
52,"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900",4.6,N/A,"99,900",4.6,17%
53,"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900",4.6,N/A,"1,01,699",4.6,16%
54,"APPLE iPhone 11 (Green, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,27%
55,"APPLE iPhone 11 (Green, 128 GB)","₹54,900",4.6,N/A,"43,999",4.6,27%
